Reading,Source,Seconds Avg,Date,Time,Temperature,Pressure,Dew Point,Relative Humidity,Mass Mixing Ratio,Vapor Concentration
1,HumGen,7.855601787567139,2020-01-10,20:55:39.889999,59.0,14.695999999999922,32.09101538461552,35.96469855524545,0.003804090830385726,6116.3253737833775
2,HumGen,4.943163156509399,2020-01-10,20:56:34.442257,59.0,14.695999999999929,32.09156363636376,35.96549835964831,0.0038041759516457612,6116.462234164816
2,HumGen,1.4618957042694092,2020-01-10,20:56:37.147487,59.0,14.695999999999957,32.10452413793111,35.98440548808087,0.0038061881918745087,6119.697571205321
2,HumGen,1.1226999759674072,2020-01-10,20:56:39.386713,59.0,14.69599999999997,32.09360000000007,35.968469061715865,0.0038044921163256497,6116.970572724533
